35 135         # first data record, number of data records
Structure:	CH3C(O)CH3
Name:	dimethyl ketone, acetone, propanone
Author(Year):	JPL-2006(2006)
Temperature:	298K
Wavelength range:	215-349nm(rec)
Bibliography:

 
S.P. Sander, R.R. Friedl, D.M. Golden, M.J. Kurylo, G.K. Moortgat, H. Keller-Rudek, P.H. Wine, A.R. Ravishankara, C.E. Kolb, M.J. Molina, B.J. Finlayson-Pitts, R.E. Huie, V.L. Orkin, ÒChemical Kinetics and Photochemical Data for Use in Atmospheric Studies. Evaluation Number 15Ò, JPL Publication 06-2, Jet Propulsion Laboratory, Pasadena, 2006.
Comments:

JPL-2006 recommendation:

215-349 nm, absorption cross sections at 298 K of

T. Gierczak, J.B. Burkholder, S. Bauerle, and A.R. Ravishankara, "Photochemisty of acetone under atmospheric conditions," Chem. Phys. 231, 229-244 (1998),

and temperature coefficients for the new cubic fit

?(T, ?) = ?(298 K, ?) (1 + A T + B T2 + C T3)

obtained by personal communication from J.B. Burkholder (May 2005).

These values supercede the parameterization given by

T. Gierczak, J.B. Burkholder, S. Bauerle, and A.R. Ravishankara, "Photochemisty of acetone under atmospheric conditions," Chem. Phys. 231, 229-244 (1998).

The parameterization is only valid over the temperature range of the experimental data, 298 K to 235 K.  Extrapolation outside this temperature range may yield unreliable cross section values.

--------------------------------------------
 ?      103 A      105 B      108 C  
(nm)   (K-1)       (K-2)      (K-3)  
--------------------------------------------
215   -10.46      8.34600   -16.43
216    -9.192     7.35700   -14.51
217    -6.233     5.03900   -10.01
218    -3.190     2.65100    -5.359
219    -1.002     0.93140    -2.003
220     0.4104    0.18070     0.1679
221     1.567    -1.09000     1.936
222     2.962    -2.18300     4.058
223     4.839    -3.65100     6.909
224     6.940    -5.29300    10.09
225     8.598    -6.58800    12.60
226     9.380    -7.20000    13.79
227     9.551    -7.33600    14.06
228     9.705    -7.46200    14.31
229    10.08     -7.76100    14.89
230    10.41     -8.02300    15.41
231    10.39     -8.00200    15.36
232    10.01     -7.70700    14.79
233     9.534    -7.33200    14.06
234     9.138    -7.02200    13.46
235     8.851    -6.79900    13.02
236     8.638    -6.63400    12.70
237     8.471    -6.50400    12.45
238     8.318    -6.38500    12.22
239     8.125    -6.23500    11.93
240     7.861    -6.03100    11.53
241     7.554    -5.79300    11.07
242     7.268    -5.57100    10.64
243     7.035    -5.39000    10.29
244     6.838    -5.23700     9.994
245     6.649    -5.09300     9.718
246     6.472    -4.96000     9.464
247     6.326    -4.85000     9.256
248     6.210    -4.76300     9.091
249     6.099    -4.68000     8.936
250     5.972    -4.58700     8.763
251     5.832    -4.48600     8.576
252     5.697    -4.38900     8.399
253     5.581    -4.30600     8.249
254     5.483    -4.23500     8.120
