16 31           # first data record, number of data records
Structure:	C2H5I
Name:	        iodoethane, ethyl iodide
Author(Year):	JPL-2002(2002)
Temperature:	298K
Wavelength range:	205-365nm(rec)
Bibliography:

?(?, T) = ?(298 K) [1 + a1(T-298) + a2(T-298)2] with

-----------------------------
 ?     103 a1    105 a2

(nm)   (K-1)     (K-2)
-----------------------------
205     6.38     3.15
210     4.07     6.28
215     4.93     6.75
220     4.06     5.70
225     2.81     3.81
230     2.62     3.83
235     1.28     2.17
240     0.876    1.96
245     0.233    1.62
250    -0.111     1.58
255    -1.03     0.606
260    -1.48    -0.0332
265    -1.09     1.2e-6
270    -0.54    -0.257
275     0.770    0.0299
280     2.01     0.110
285     3.85     0.926
290     5.47     1.65
295     7.00     2.52
300     8.56     4.11
305     9.31     4.89
310    10.56     6.87
315    10.83     6.81
320    11.98     9.76
325    12.98    11.30
330    14.56    17.50
335    18.81    24.60
340    13.90     9.08
345    18.86    22.1
350    20.19    20.1
355    -7.04   -40.5
