24 56          # first data record, number of data records
Table 4-16.  Quantum Yields (multiplied by 1000) for the Product Channels  
NO + O and NO + O(3P) in the Photolysis of NO at 298, 230 and 190 K 
?(NO) ?(NO2) ?  

Johnston et al. [385] have reanalyzed the available laboratory data relevant to NO3 photolysis, including 
quantum yield for NO and NO2 formation, fluorescence, and threshold energies from the molecular beam 
experiments.  Their model reproduces the wavelength-dependent quantum yield values for 
?(? + ??2), ?(?? + ?2) and ?(fluorescence) for three temperatures: 190, 230 and 298 K.  At 298 K the 
calculated ?(? + ??2) quantum yields agree reasonably well with those obtained by Orlando et al. [611], but show some systematic offset in the range 605-620 nm.  The calculated ?(?? + ?2) product yield agree with 
those observed by Magnotta and Johnston [467] within experimental scatter. 
The recommended quantum yields are taken from the work of Johnston et al. [385] and are listed in Table 4- 
16 for the range 685 to 640 nm at three temperatures 190, 230 and 298 K.  For ? < 585 nm, 
?(? + ??2) = 1, and ?(?? + ?2) = 0; at ? > 640 nm, ?(? + ??2) and  ?(?? + ?2) are zero. 
Photodissiociation rates have been calculated by Johnston et al. [385] for overhead sun in the stratosphere: 
J1(NO + O2) = 0.0201 sÐ1 
J2(NO2 + O) = 0.156 sÐ1 
The spectroscopy of NO3 has been reviewed by Wayne et al. [840].  

------------------------------------------------
     QY NO+ O2            QY NO2 + O
nm 298K 230K 190K       298K 230K 190K 
----------------------------------------------
585 0.0 0.0 0.0    983.0 996.0 999.0 
586 15.2 26.4 37.9 967.0 970.0 961.0 
587 39.1 66.7 94.4 943.0 930.0 905.0 
588 97.1  161.0 221.0 885.0 836.0 779.0 
589 128.0 209.0 283.0 854.0 788.0 716.0 
590 190.0 300.0 397.0 793.0 696.0 602.0 
591 220.0 343.0 448.0 763.0 653.0 551.0 
592 249.0 383.0 495.0 734.0 614.0 505.0 
593 303.0 455.0 575.0 680.0 542.0 424.0 
594 328.0 487.0 610.0 654.0 510.0 390.0 
595 359.0 517.0 630.0 608.0 453.0 332.0 
596 357.0 501.0 598.0 587.0 429.0 307.0 
597 318.0 430.0 493.0 567.0 406.0 285.0 
598 323.0 421.0 468.0 531.0 367.0 249.0 
599 314.0 396.0 429.0 509.0 345.0 229.0 
600 291.0 346.0 355.0 472.0 307.0 196.0 
601 296.0 338.0 335.0 438.0 275.0 170.0 
602 291.0 322.0 310.0 415.0 254.0 153.0 
603 283.0 294.0 267.0 371.0 215.0 123.0 
604 280.0 282.0 249.0 351.0 198.0 111.0 
605 264.0 253.0 213.0 323.0 176.0 94.4 
606 271.0 251.0 205.0 296.0 155.0 80.0 
607 268.0 243.0 194.0 280.0 143.0 71.9 
608 250.0 217.0 167.0 259.0 128.0 62.1 
609 248.0 208.0 155.0 238.0 113.0 53.0 
610 236.0 193.0 140.0 226.0 105.0 48.1 
611 205.0 159.0 111.0 210.0 94.7 42.2 
612 200.0 150.0 101.0 193.0 84.0 36.2 
613 190.0 138.0 90.6 181.0 77.3 32.6 
614 166.0 114.0 71.2 166.0 68.4 28.0 
615 166.0 110.0 66.1 147.0 58.3 22.9 
616 160.0 102.0 59.7 137.0 52.7 20.2 
617 141.0 85.5 47.5 124.0 46.5 17.3 
618 143.0 83.5 44.8 108.0 38.6 13.8 
619 139.0 78.4 40.9 99.3 34.6 12.1 
620 131.0 71.5 36.0 89.7 30.3 10.2 
621 127.0 66.0 32.0 76.9 24.8 8.03 
622 122.0 61.9 29.2 70.4 22.1 6.99 
623 117.0 57.6 26.5 64.3 19.7 6.07 
624 106.0 49.6 21.9 55.2 16.2 4.8 
625 98.5 44.5 19.0 48.7 13.8 3.94 
626 92.3 40.6 16.8 44.2 12.2 3.39 
627 84.8 36.0 14.5 39.3 10.5 2.83 
628 73.9 29.9 11.5 33.9 8.67 2.26 
629 69.9 27.4 10.2 29.4 7.23 1.81 
630 64.9 24.7 9.01 26.4 6.29 1.53 
631 57.8 21.3 7.52 23.6 5.45 1.29 
632 50.8 17.8 6.02 19.5 4.29 0.969 
633 46.6 15.9 5.23 17.7 3.8 0.838 
634 42.6 14.2 4.54 16.1 3.36 0.724 
635 37.3 12.0 3.73 14.6 2.97 0.624 
636 32.3 9.86 2.93 11.9 2.3 0.462 
637 29.4 8.7 2.52 10.7 2.02 0.396 
638 26.6 7.66 2.16 9.57 1.77 0.338 
639 23.5 6.53 1.78 8.56 1.54 0.288 
640 20.3 5.38 1.41 7.15 1.24 0.224 
