15 38           # first data record, number of data records
Structure:	CH2ICl
Name:	        chloroiodomethane
Author(Year):	JPL-2002(2002)
Temperature:	298K
Wavelength range:	205-390nm(rec)
Bibliography:

?(l, T) = ?(298 K) [1 + a1(T-298) + a2(T-298)2] with

------------------------------
 ?      103 a1    105 a2
(nm)   (K-1)     (K-2)
------------------------------
205    -1.59    -3.83
210     8.47     3.76
215     6.12     4.30
220     0.232    0.13
225    -0.0938   0.660
230    -0.268   -1.4e-6
235    -0.512   -0.388
240    -0.793   -0.664
245    -0.929   -0.758
250    -1.22    -1.13
255    -1.25    -1.00
260    -1.56    -1.14
265    -1.05    -0.294
270    -1.33    -0.593
275    -1.07    -0.298
280    -0.618   -0.309
285    -0.326   -0.554
290     0.300   -0.711
295     1.55    -0.245
300     2.38    -0.0473
305     3.13     0.394
310     3.13     0.303
315     2.74    -0.317
320     2.44    -0.533
325     2.87     0.140
330     8.52    -4.21
335     2.02    -2.25
340     5.20     4.54
345     7.05     6.88
350     9.12    11.7
355    12.27    18.9
360     0.0      0.0
365     0.0      0.0
370     0.0      0.0
375     0.0      0.0
380     0.0      0.0
385     0.0      0.0
390     0.0      0.0
