15 32         # first data record, number of data records
Structure:	CH3I
Name:	iodomethane, methyl iodide
Author(Year):	JPL-2002(2002)
Temperature:	210-365K
Wavelength range:	210-365nm(rec)
Bibliography:

?(?, T) = ?(298 K) [1 + a1(T-298) + a2(T-298)2] with 

-------------------------
 ?      103 a1    105 a2
(nm)   (K-1)     (K-2)
--------------------------
210     3.07     2.42
215     2.61     2.28
220     1.06     1.22
225     1.74     1.96
230     1.47     1.67
235     1.91     2.04
240     1.74     2.06
245     1.52     2.15
250     1.20     2.11
255     0.890    1.95
260     0.882    1.93
265     1.21     2.00
270     1.77     2.11
275     2.52     2.12
280     3.62     2.24
285     4.84     2.38
290     6.14     2.57
295     7.27     2.91
300     7.82     3.53
305     7.82     3.85
310     7.37     3.71
315     6.98     3.47
320     7.39     3.54
325     7.23     2.82
330     8.93     3.74
335    10.88     4.88
340    11.30     4.46
345    15.68     8.44
350    15.94     8.22
355     0.0      0.0
360     0.0      0.0
365     0.0      0.0
