27 151          line of first data point, total data points
Structure:	BrONO2
Name:	bromine nitrate
Author(Year):	JPL-2006(2006)
Temperature:	298K
Wavelength range:	200-500nm(rec)
Bibliography:


S.P. Sander, R.R. Friedl, D.M. Golden, M.J. Kurylo, G.K. Moortgat, H. Keller-Rudek, P.H. Wine, A.R. Ravishankara, C.E. Kolb, M.J. Molina, B.J. Finlayson-Pitts, R.E. Huie, V.L. Orkin, “Chemical Kinetics and Photochemical Data for Use in Atmospheric Studies. Evaluation Number 15“, JPL Publication 06-2, Jet Propulsion Laboratory, Pasadena, 2006.
Comments:

JPL-2006 recommendation:

200-500 nm, data of

J.B. Burkholder, A.R. Ravishankara, and S Solomon, "UV/visible and IR absorption cross sections of BrONO2," J. Geophys. Res. 100, 16793-16800 (1995), and

temperature coefficients for the parameterization of the temperature dependence 220-296 K

 xs(T) = xs(296) [1 + A1 (T-296) + A2 (T-296)^2]:

        A1         A2

(nm)   (K-1)       (K-2)
-------------------------
200    8.52e-4   -2.60e-5
202    6.08e-4   -2.61e-5
204    3.08e-4   -2.62e-5
206    1.38e-4   -2.37e-5
208    1.58e-4   -1.75e-5
210    1.84e-4   -9.09e-6
212    4.01e-4   -2.61e-6
214    6.57e-4    5.03e-6
216    8.82e-4    1.12e-5
218    1.05e-3    1.53e-5
220    1.24e-3    1.97e-5
222    1.19e-3    1.97e-5
224    1.12e-3    1.96e-5
226    1.14e-3    2.03e-5
228    1.26e-3    2.18e-5
230    1.40e-3    2.34e-5
232    1.40e-3    2.31e-5
234    1.41e-3    2.28e-5
236    1.47e-3    2.28e-5
238    1.59e-3    2.34e-5
240    1.73e-3    2.40e-5
242    1.65e-3    2.09e-5
244    1.56e-3    1.72e-5
246    1.62e-3    1.55e-5
248    1.88e-3    1.68e-5
250    2.22e-3    1.85e-5
252    2.24e-3    1.74e-5
254    2.27e-3    1.60e-5
256    2.30e-3    1.49e-5
258    2.32e-3    1.46e-5
260    2.36e-3    1.41e-5
262    2.38e-3    1.44e-5
264    2.40e-3    1.47e-5
266    2.38e-3    1.46e-5
268    2.31e-3    1.40e-5
270    2.22e-3    1.34e-5
272    2.19e-3    1.36e-5
274    2.16e-3    1.38e-5
276    2.10e-3    1.37e-5
278    2.01e-3    1.32e-5
280    1.91e-3    1.27e-5
282    1.85e-3    1.25e-5
284    1.78e-3    1.23e-5
286    1.66e-3    1.12e-5
288    1.46e-3    9.01e-6
290    1.24e-3    6.66e-6
292    1.01e-3    4.11e-6
294    7.58e-4    1.31e-6
296    6.36e-4   -1.88e-7
298    6.66e-4   -1.97e-7
300    6.99e-4   -2.07e-7
302    7.81e-4    7.84e-7
304    8.70e-4    1.88e-6
306    8.72e-4    1.62e-6
308    7.72e-4   -2.29e-7
310    6.60e-4   -2.28e-6
312    6.52e-4   -1.95e-6
314    6.43e-4   -1.58e-6
316    6.52e-4   -1.42e-6
318    6.84e-4   -1.48e-6
320    7.19e-4   -1.56e-6
322    7.19e-4   -1.06e-6
324    7.20e-4   -5.08e-7
326    7.43e-4    8.70e-8
328    7.91e-4    7.22e-7
330    8.43e-4    1.41e-6
332    8.25e-4    1.33e-6
334    8.06e-4    1.25e-6
336    8.00e-4    1.30e-6
338    8.09e-4    1.49e-6
340    8.18e-4    1.70e-6
342    8.98e-4    2.52e-6
344    9.82e-4    3.38e-6
346    9.91e-4    3.48e-6
348    9.18e-4    2.75e-6
350    8.42e-4    1.98e-6
352    9.42e-4    2.83e-6
354    1.05e-3    3.74e-6
356    1.08e-3    4.10e-6
358    1.03e-3    3.87e-6
360    9.69e-4    3.62e-6
362    1.02e-3    4.08e-6
364    1.08e-3    4.57e-6
