12 81           line of first data point, total data points
Structure:	BrCl
Name:	bromine monochloride
Author(Year):	JPL-2006(2006)
Temperature:	298K
Wavelength range200-600nm(rec)
Bibliography:

S.P. Sander, R.R. Friedl, D.M. Golden, M.J. Kurylo, G.K. Moortgat, H. Keller-Rudek, P.H. Wine, A.R. Ravishankara, C.E. Kolb, M.J. Molina, B.J. Finlayson-Pitts, R.E. Huie, V.L. Orkin, “Chemical Kinetics and Photochemical Data for Use in Atmospheric Studies. Evaluation Number 15“, JPL Publication 06-2, Jet Propulsion Laboratory, Pasadena, 2006.

wave   cm-2
200    2.64e-20
205    3.61e-20
210    4.59e-20
215    5.47e-20
220    6.13e-20
225    6.47e-20
230    6.48e-20
235    6.17e-20
240    5.60e-20
245    4.86e-20
250    4.05e-20
255    3.24e-20
260    2.50e-20
265    1.86e-20
270    1.35e-20
275    9.45e-21
280    6.53e-21
285    4.58e-21
290    3.57e-21
295    3.62e-21
300    5.04e-21
305    8.45e-21
310    1.47e-20
315    2.51e-20
320    4.08e-20
325    6.30e-20
330    9.25e-20
335    1.292e-19
340    1.721e-19
345    2.190e-19
350    2.668e-19
355    3.118e-19
360    3.503e-19
365    3.791e-19
370    3.961e-19
375    4.004e-19
380    3.926e-19
385    3.745e-19
390    3.487e-19
395    3.182e-19
400    2.859e-19
405    2.543e-19
410    2.251e-19
415    1.995e-19
420    1.780e-19
425    1.604e-19
430    1.463e-19
435    1.349e-19
440    1.255e-19
445    1.173e-19
450    1.098e-19
455    1.025e-19
460    9.52e-20
465    8.78e-20
470    8.02e-20
475    7.24e-20
480    6.47e-20
485    5.72e-20
490    4.99e-20
495    4.31e-20
500    3.68e-20
505    3.10e-20
510    2.59e-20
515    2.13e-20
520    1.74e-20
525    1.41e-20
530    1.13e-20
535    8.92e-21
540    7.00e-21
545    5.44e-21
550    4.19e-21
555    3.20e-21
560    2.43e-21
565    1.82e-21
570    1.36e-21
575    1.01e-21
580    7.39e-22
585    5.39e-22
590    3.90e-22
595    2.81e-22
600    2.00e-22
