7 42         # first data record, number of data records
Listed in JPL 15-10
------------------------------------------------
lambda     sigma (cm^2)      10^3 B (K-1)
 (nm)		10^20
------------------------------------------------
180	3.11	0.0
185	0.75	0.0
190	0.28	0.0
195	0.16	0.0
200	0.15	0.0
205	0.19	0.0
210	0.34	0.0
215	0.68	0.0
220	1.52	0.0
225	2.88	0.0
230	5.03	0.0
235	8.21	0.16
240	13.6	-0.16
245	21.8	-0.52
250	32.4	-0.86
255	45.2	-1.17
260	56.9	-1.37
265	63.4	-1.43
270	63.1	-1.30
275	56.1	-0.94
280	45.1	-0.62
285	33.4	0.55
290	22.7	1.65
295	14.3	2.98
300	8.6	4.22
305	5.06	5.61
310	2.82	6.84
315	1.62	7.68
320	0.905	8.27
325	0.485	8.74
330	0.262	9.25
335	0.142	9.92
340	0.0750	10.27
345	0.0407	11.71
350	0.0210	12.85
355	0.0115	13.26
360	0.0064	14.65
365	0.0036	14.63
370	0.002	15.49
375	0.0011	17.14
380	0.0007	17.66
385	0.0004	19.71
